wav_filename,wav_filesize,transcript
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/bf297b069ecd121c01d5e04beed03cc7590ff3052b7586da6d3595b72599e419fbf6dc6f780eafdfc61ea5c3502e1fcee82e5fec50c14f529cbabc7cda438e47.wav,155948,was du heute kannst besorgen das verschiebe nicht auf morgen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/3d2a85f974a8c0adda4863c418687b7ef5c38a79679f88857795ef76d7c9ebeeb2349ccd89ac7a79b924ed492eac8a431c89499f20aed2c450063c49f4bba1bd.wav,178988,lass dir nicht die butter vom brot nehmen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/4fdcb4bbda409ef942d8895e5025f100d3e13d7e149d751e3472582ac68b2ebd043b18983408b96ee4ed0c9985ba45da898fd346af61d0aab2f51c3f39afcb09.wav,155948,bei ihren ausführungen blieb nadine relativ vage
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/5194d4028fd1025f117ba56710b10bc472fa3a4097c7e62a6ae9889d00adcd527223fa095c6cd68fc4a51d0f33d54501099258c03ace415fd1cbbdda6719e3b9.wav,69932,stell dich mal auf die waage
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/b71ad3cbae743e33c8dd328c601de7f55ccbf3ae27a44b0c9f0aaa41676badc9b1c1f669a8cf39901a4fbfb9ed8f1e388c643a8109cac99fdc430befdcb312a9.wav,275756,wenn melinda und irene miteinander telefonieren plaudern sie üblicherweise stundenlang
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d366104c29294a24f50c33ae84ba855ea172bbb6d5560997d8d77b8f11c2c2047093ef6e700087c795fb909a82a05ce13c7df1f51c77bcdddaec2133ea6b7b46.wav,159788,das macht sie einerseits träge spart andererseits aber energie
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/6dc64806d776a255b9474ce8d14d335348159b8212697a6d9418bbdb996f931b8249039644c65abc97e623084bbf64f3f6bce2b5eeffb135374d3495edcbd65e.wav,169772,im vergleich zu autokraftstoffen ist schweröl sehr langkettig
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/0b270fbd7ddf9b9a34e33dc837532d5095df4f49784038f4a5faff87ac86c2682d1fe4f2eaa979488b5e22e62de6e8a0a8c8f5b2f89c1b623df3ed4463914479.wav,158252,schiffstechnologie hat sich seit der titanic verbessert
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d7d01e4bba19d1e8c61e5baa035b5c078598b4b40237df65c13ce8bb63797846176a68dc7dca8182df1199338440026a93cbfb60e185eebf144fdd88ec0a15f0.wav,91436,das geräusch kam aus dem keller
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/de09dc035007a83df1f990e37aaa911b377f6932383e89cb3a2ec62ebcec8e07f4615b5626c8a73f72cd30f36b261f4fd2513d377aa9452071d6af45d2f1c78e.wav,145964,dieses laster möchte ich maximilian nicht aufbürden
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/21ad9dbace735bd5397e3032860cca99bdd4313da6b5cbc3250f2d0e8c7e8aec9fea1e15df4f1e796156b0d0d7c4d27ba176f09d0486de5e06f58614de2698b7.wav,134444,das ist seine zweite gelbe karte und damit fliegt er vom platz
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/8e2890e5bee2f20795b3233227478cdee501950963f211125bfc0aa7bf2da1c79762b048803c67491a8f574d673b02ee2bab94226fbd316ac9ca8a8d6a8ad44f.wav,122156,tunis ist die hauptstadt von tunesien
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/e757d2463463f6172cb908aded96852fba1b2f4890cc58ab9e06f9b0f04d4b5d6b1a1801657d0ac91b8e8c5869a3e8c8b93a14c77af1a21ca794e3a17eef026c.wav,152108,männer mit riesigen humpen prosteten sich gegenseitig zu
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/eb86023c51c8b03beb701b609b08777d5b496551b32fb527370e8165638144a080daa8827490cf4532c1743dd8d2a1d6e8961b9ca4f18cf41951cccc4ee0421b.wav,100652,sibylle hat angerufen und wollte dich sprechen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/5a6f6687f4e0e4596017a599347bebc69f709427af068e304cb65488b5b2277717d02c68d31e97139da90727d0d6f3c079996a65a43ffb7c69d0996e48d43c39.wav,135212,oh entschuldigen sie ich glaube ich habe mich verwählt
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/63b4967b389976015e27791b3b15f44557434193fc3a038e5e5847885200bcdf541944a515857e53be21459c0102d2bc12cb0a717138d4491e9efc5a51afab0a.wav,159788,sonja findet dass hubert eine verklemmte einstellung zur sexualität hat
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/09c478cb7a7966629d093897644187b5a795d088d61e0e87708cda94dffa93b3965e05c50ec3690b4c81b47c7eee5349f9c86e4a6987d584bc756c2be000be00.wav,73772,alles löschen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/10bd9106fd90da6d5ddd6eb87bf20538848e216900b5ff5a7f84cf69486ac87a0d0aeba0aa8093e12868433c98109ae00cb07ee51cc7a7e59fda6eda00ef43d2.wav,86060,nun zier dich nicht so
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/cf5f619264e9ef7a339e913e64734b1135da4c5e6e28b99e13c358aacdf4377882423a71965cbca9ad2ee708799c8d679bb16ef7bce6e8843892b80b7aff4580.wav,149036,gegen mittag muss der frachter mit einer nussschale kollidiert sein
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/47edd8dc75fbef95cd83b09f4f3b2ee34757eed6c1039154a40ab85b6efd226b5c05d64471d21d78330359dd7a1b2b08ef45c020ee877e15dcc7bb0a5124a595.wav,135212,an dieser stelle möchte ich mal ein lob für die gute arbeit aussprechen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/0e76e6266685669222d4bd584442dd72a600159dea44b84289eb1bae125380a470b76f7ef9f0e596fba7195de33c16fda60b7655123851683f64c1a809aaec25.wav,80684,ich will yoga machen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/9e6f15d920e23c109c8f344ac908f85841613545b78ab9ffb4ddd2f93459ae37849c72cc234165d1a64c243720e2d1b930845bf7ca7c2ebf54f7cd838f184951.wav,155180,dieses fahrrad hat keine rücktrittbremse
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/55b6204aee55c9424efd7250c9f44647fddb9786c14b54eb1c454f772caf5e9977821ed8a04d28c2622fa004be789ee5813a1d3a3359808c92a007510afdf241.wav,120620,da ist noch pfand drauf also nicht kaputt machen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d29285e5b09d7c9cccae62ba8b995de1dc30e430314330dd9332ca18c7762a246f08192d279f12d7edb0e4c194250a41ee2ac186a5925bc922a2cf71a66cf766.wav,82988,herr förster sieht völlig zerzaust aus
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/a71549edf3380ede8fdbd87399a498f9f50f431d4806cfa96a5f02db5bcad825bda58ca72ce2f8895255edb55a3727e9d8c1cc9b1bc3f0a05d02f43b9e8a9b58.wav,151340,bleistifte enthalten schon lange kein blei mehr sondern graphit
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d49b7501700224ca47be8d077c26cc89d85d87fde2e66337fd6ad6e2bd7ecc49c510f63242c11c332927b75860101b8faf768c28db45acb397ffb354dac1220b.wav,118316,als erstes bestimmen wir blutgruppe und rhesusfaktor
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/c23c3349f735a1e22269fa8958a3d7003f5da36fd169117210cf4a2d0bc0899c0fb3ac839e652aea01de9ba2688cabde7e5d0f8c6e2fd0ee22e2af71cf283890.wav,115244,was ist mit würmern quallen oder einzellern
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/0c72c91199405f7027867ac41ddce22b8e3e846c4b1fd60174c8fd31b05c0481d473ea0cf85b82cc0b54804c3ccba814002084cfdb552f69cef58e1f3ab28743.wav,137516,sie zeigt ihr wie man den degen richtig hält
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/bf689aba095d48d6c0a28b66a720b71c891f2903fdc1182e3f7e486543f1b9308b7bd229d164d5e4bd745a89c928755009244168b51ec54289a40bdc2b97c36e.wav,107564,wen hat clemens bestochen damit er zugang hat
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/6daca17619972b913557dacfcaafdaa70afff0571f5b481570f20edc8711e6090d2913a3dd79fca3695d017ab542d9f6c920947a0dd2dc4bae9b29a08ab21b3e.wav,163628,an der wand hängen porträts aller ehemaligen bonzen des hauses
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/dd7b14638505c050d5b4f34e629f3e09eac3c88f7fd8a24cf6fb5b1043b13be58386ecdeb13e13735443620647bd70f270531b4915379f6d8cb4d95af7cfb4b6.wav,264236,um ihr den aufenthalt auf der kinderstation etwas erträglicher zu machen brachte peter seiner tochter eine tafel schokolade mit
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/271edf8c83ad3be5002aa68e2546c5a1232ba2f25068a03885772f5fbe3a5c24cf4c64c591e1117d80983a984de649f017b0637d93a1028dc8b0fa1692f7cafc.wav,78380,halt mal kurz meine angel
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/9f77187fad94380b717abeb226ab936965b93782406d00c668f42203e877f11404dcb45e2908ef576cecf0d2f82e4731ec785ae24d71490eaa04a885049f9a0a.wav,136748,hast du uns inzwischen für den anfängerkurs karate angemeldet
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/fa9c9eb369fde7b6863bba20777f7892f1f22d458f0377ba3fe8f77c8d96e5737fbee56c5178614ea487cb833421cf5a4aafcba2ddec06ed5ab2868d35fa7809.wav,123692,nach einhundertsechzig kilometern hatten wir einen getriebeschaden
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/8529ad27b75675a61007b3a598e251b8be308758476d798088143df49af6f61c8938a091991f7a267e54bce467833baa85698f6f836dc1ce49e149c991d0301c.wav,86060,suche zugverbindungen nach münchen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/35e7fda7721ff3362126bb2479c5c494c2224016bc6d20b0a99853305b25683ba6aa3ba4c2e60fe22406a0d78b26e5eb379e1fd257a43e7248d0487b73c6a5cd.wav,125228,wie werden sie reagieren wenn wir ihnen einen ernstfall vorgaukeln
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/f63ae9504e08bd99669987fc9981dcdfd5cb9f3d9980b02f5d0609b582f55ae321b27736a75ba93d1edf211b3a7474bbe183e05d074a458efd8f99e8bded0d2a.wav,102956,was soll an dicken lippen schön sein
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/8b1847c64ef7dca94307d2393844c924c560c6aee58af0856e3aaa34cf402421d0796882c27db3b6452197d17a02994072744170b525f53a2bfa920f1e005899.wav,169772,wenn angelika sich im dunkeln kämmt kann man funken fliegen sehen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/c08f4e5771f63e7fd3be828c8b2b99074126a93e05b157d361ce580df0d6a0740d710a838f18e22a7c64f11abb47b11740815bcaf5669b74f663cab5985290ef.wav,122156,der ofen sollte eine umluftfunktion haben
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/32a001f0f1a3cb52f03abc387befd0de65e08fa2b06f86e1ac2974ffd3db8adc0b2cd2e72d2421fa4e3d17e6e9d2e95334f2e590ed19712d78adac463d428dd1.wav,155180,ob katholisch oder evangelisch ist mir nicht wichtig erläuterte valentina
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/0fbda0ccdf2f5c46ea9c02b1cf48e8860156b21f743cac74c37e6d95d8458efff9402a57c8125986f54b5e5ce5896bc986493f2e59013815036fe035b57dee90.wav,71468,sie wollen mich nicht verstehen oder
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/3212fb71a1a8f5d152c7d5d8068d94fd51bc25f1b1b798a224619202c50abf03bd7a633172023a0324d976799776c66e2a37a641ca2a29f8bab1cf87e5d30bad.wav,163628,ngerulmud ist die hauptstadt von palau
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/9f669a271f29bcf389c2ffa881e77eb6c3fafa75c4085f846e9e09455c049e461bb126b7924642cf4dca396ad8fd4b524a2c06f1cbf0cf1f87a1e79b91b2fae7.wav,72236,wenn du reinkommst zweite tür rechts
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/6137a00208aa31c6d1a9b75df375616c407a12c6722e482ddee1e8198ad0a77a6ee596b261d2884c7a9a435f99bfb9578b92c82751fd511688ce540151d48023.wav,94508,wann musst du wieder nach ingolstadt fahren
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d0b969f25f7b9dac8f9c121f98fc328c2e7982ffe03e3a0360523ce258dc4eee1c59fbc1e55181e0a92507851ad8b7c4cb9b69ae5f3c3e06b0606c1837dd24d4.wav,149804,durch seine glaubhafte betonung haucht er den geschichten leben ein
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/ea6154261c418595aa70283808b635b198efa0386da7dcf390f3b2e026d01413ab7f8d0f5e16b7d40b4379eef189bf8fea1b441980f51f68fa134e940b68c67a.wav,92204,xenia ist leidenschaftliche tänzerin
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/1bb356b0f01fca5bb898911429d32fc4148830d6b4f6d7ee01475413a804172b245d6489215e9ad81836d00598f435fcad18302eed7a96b8842617b71e0a712c.wav,139820,ab einem bestimmten wert müssen eingeführte waren verzollt werden
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/802fe48f95c40f2ec4e200b521356886f2ea54e95b58b3ec931f08766115751603bbc61dc2c15d45b96bc9d6c18f66d0b3b57741ad6f5c7e2c0ba8251748a323.wav,130604,viele touristen müssen gestehen dass sie mit dem ticketsystem überfordert sind
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/e536cc0873889cc8b6f8fb65a7ab07ae71fc1f77b7e13e2328c06d68570d26e04907e66deaf5fd23ffb250d4c7846b7933804e662aa5f2a94c88a48fdff51853.wav,124460,frau knoll will hoch hinaus
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/16c0701628d07aeb1edb441e0a12960ef478bd27b388d2abd4333ac38e8ccc9ac07cf5964727d6f7534a088bc172245f63c47d7ce65ba43193fc3486be3e2b3e.wav,198188,hat mir theo in letzter zeit eine email geschrieben
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/f3a6d225f4a2124b302a7542a812dba9a880348a57ecd82cf7c365ae17907308f0a670de4e43611b46ae2228ccec9a2634acff636c259d4d52d41f804b858be4.wav,96044,sie muss nur lange genug schütteln dann hat sie stilles wasser
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/3d998479c63598e5805cf844447d6b5b7fa6dd31a02dd11bcb9debfeda2659ea4d18bdddd0ec63cc1ddc87a61f4741ddd145fc9df1b8b06ebadc51411b9e69d1.wav,109100,am horizont steigt rauch auf
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/853a742d6257cd720732d4ea22505708c33800b510931c7764eb3fc97e4c0086bc1d94a6b9cecc4ccee6ee83667a40d9b7c9d4a2ed3450eba65f77dbd4df81f0.wav,71468,ja ich will
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/ae5948e46a0bad323ef2ecea612b739d0899f02271d95347ae9391e7d51f6c72897141ffd7891ac68d4fd4cf076bca0e42eb0e0b1d3b316fff1eb0acf812b065.wav,143660,von schlechtem licht bekommt man schlechte augen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/bccd55ea49ead4839aae9591cdcdcc6054b07220e4de3f05da3de5fc523363d05ad740d1116538865dccc18ffb80c6707cd0cec0e3926eb8123becd97124b968.wav,171308,hätte einem der gesunde menschenverstand gesagt dass tonnenschwere flugzeuge aus metall fliegen können
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/45850e4100771fb3a14bd77b6c072bce8f48abb8557eca34ab4b75bf1680cbaf288f3976e293df513aefbb92d0f5564860d9749ede5011a443d1f3b7a65adba3.wav,166700,aus einer einzelnen zitrone kann man nicht viel saft quetschen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/23453148d91a830c82e4fadf5674259b9779585e0ad4af9965cf45575e311baa140a2f9a7d48baafcb958ddd0ea52d69c29ae6d7eb942108b65e15b9dffb6bc7.wav,133676,offenbar hat sie aus ihren beobachtungen gelernt
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/9675b6bab0524d11030f1bc32116db647d548a480355353c5de100923e08373bbda0203b6a83e63341fd8b72732d08bfe3c74cda18200762a584eaac261acd10.wav,147500,vorher muss noch ein vertrag ausgehandelt werden
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d7600c3ca6627f6a38c80bedd63b702cc3c4df195907af4d892d33ed135efa1624df208f6ae4d0b86c17eae5e20edf628dc2538bc14e6a17f6cceb8b09a539d8.wav,172844,die hauptstadt von nordirland ist belfast
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/6117fd6173285f621b0348e52d7d456076f45f6b54c5199c66e308e1de22d4bd993503821832b17841818adc45e1aad235c0b1b6b8287ac1db40a59fe35a9ac1.wav,159020,über kranke und behinderte macht man sich nicht lustig
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/b2f8d00653a26660bc71688973b149bf4a740c9270b769dcaccbc88fd2e224c49ab91a4bfe3a05c0392f52e4fa014bee5d524de541fa769a3fc105e109d5e2b9.wav,231980,dadurch wird in der sekundärspule eine um ein vielfaches höhere spannung induziert
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/946e873d1e0bb745a5f18958c71f7c7f79fbf38a9c9ad2720f50cca6016eb2873ba94d5535a39036791f87bfbb92ed645b161d1f2e62d5ceb21b2a677f44d396.wav,92972,heute gibt es pfannkuchen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/6141a02ca2990ecaddfbbc40f83b2458f5b0da7e43e69d37b95926bf22a3d913b2912b1b50f0a55430fd15d0ceb133edeb5f66d8dc6a6de2e224e40aa8bb098d.wav,166700,alexander ist ein armer schlucker
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/16afce3f9fec11c43f9e5076a78fcc6c8b1414c4f3a74b632163bd1562f06f1d35390cd72ab55b814a433a53bcc4ab137e19b82b9d0ab0390a25871a666c1531.wav,211244,irgendwie habe ich das gefühl dass sie mir nicht die wahrheit erzählen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/0a245d948860d41cd930013097fa940442f04d12309a2e92155d49ff606b9d47a4b794587f843d5d8e83edaa81ea312219e1ac3d4469fa75eec71447c0011de3.wav,298028,gerichtete energieformen wie ladungsunterschiede sind viel wertvoller als chaotische wie wärme
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/123e1ed7298c3d19590aa0411a54a4109360d5ce09a8eb0801a4e0f9fa3137e4360e758fe03c6621eeb7a838eed77aba10bee70aa164a99db0074bd45919e327.wav,112172,vielerorts gibt es mehr sonne als hier
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d74bf8325dfbbd30e5aa3d06bed43617df972994720c1d462d70a9c75cfd361871e1c379fb1ccbeaaa24cbd2a379c5eccef7afe40e3514cad4f10ab6b2d1c1f1.wav,86828,das wäre wirklich ausgezeichnet
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/79586955f8779c44bf801f801fb99c85ed79142ab408d5c9514e14f238ef3330bb8afb115e1ced1912b10fe5967690e76571f8c49b1e806d8ba5abdc336d25fb.wav,145964,das insektensterben ist schlecht für die landwirtschaft
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/ae014af06a726824e9999636eb87091a4db52af59150861087c80221b54c8bb21bcbd80807a23f77a64e947b6cf9ae3931645b2c303ba7081393852399037b59.wav,223532,von siebzehnhundertzwölf bis neunzehnhundertachtzehn war sankt petersburg die hauptstadt des russischen reichs
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/ed1962ccbe08627ef63a6b66af0dc138af61149ba0c936d59cc16affbf6d66325fc46851bbe1cbfca2c0a3a0ab91c41e369eebd81f88578b862039ff9869a763.wav,80684,brauchst du einen fön
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/8dd5f70798c93a52d3055301dbdcbbbcce993c92a9ce4e1c4c2bb8c214451e28598096ceee5c0910bdde48a491ca0f8277a839e49349361628c7c0bdf47a377a.wav,135212,im ganzen norden haben wir derzeit temperaturen nahe dem gefrierpunkt
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/abd3214c4158d201120e1bd73dd6cd4251ae5397a494b09e51f03b5c45361b5b939e6507e930de9ff76b7db6745424f582266c3931b3ec627e5744b7abe9f045.wav,109868,mehr oder weniger das ganze volk wurde davon abhängig
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/cb2ce87b95909dc65ac777706ec4aea2a230e22b5bb3f84e68f0bd695e4e4abd3f7e5f477f798cd1491b65dfb979cccf2a12df26e79c19a0a884656e92de8842.wav,113708,mannheim ist der ausgangpunkt
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d2c2f193997f976616ca64b1ddba5e199af9119003f47bb3ac4137a0fc8b22a5726d20ee62aee4db7a4d12ad910582c0a5ee9d5a68e861b7bc49bb606b887c84.wav,42284,das fetzt
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/d920f45a6e9e5251a3b6a731ed0d6cec4ea632ef93809cf028d702611d47ead6f9eba748502465d4af10cc974283813831aad7310395188c358956e934a77faa.wav,203564,seine sms an katrin beendet sören immer mit einem vielsagenden hdgdl
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/028c2963e2dd486337b23816529a5791f70d1fef6c28e5b25a109240298664c3eff0d1b5e7215ba15e9143c767b553702a9390086e489f9bb79397776ea6e8aa.wav,117548,zudem war es an vielen stellen schwer ans ufer zu kommen
/media/data/LTLab.lan/agarwal/german-speech-corpus/mozilla/clips/4a15c5eb6b3f1cf78268d0d2d1af828c8a9443c31149d0e7cc723000cb9b104e7e971039c0680cfa7d26dd0ad5595af8f6b29254a1e384b3d83aec6249928944.wav,184364,marco kommt mit dieser notation nicht klar weil sie so viele griechische buchstaben enthält
